dataset,kind,hf_path,split,source_index,text,original_token_length,token_length
sst2,natural_language,stanfordnlp/sst2,train,30752,"is ... determined to treat its characters , weak and strong , as fallible human beings , not caricatures , and to carefully delineate the cost of the inevitable conflicts between human urges and an institution concerned",45,40
sst2,natural_language,stanfordnlp/sst2,train,63650,"in a big corner office in hell , satan is throwing up his hands in surrender , is firing his r&d people , and has decided he will just screen the master of disguise 24/7",41,40
sst2,natural_language,stanfordnlp/sst2,train,3263,the movie 's biggest shocks come from seeing former nymphette juliette lewis playing a salt-of-the-earth mommy named minnie and watching slim travel,60,40
sst2,natural_language,stanfordnlp/sst2,train,2943,"a film that proposes as epic tragedy the plight of a callow rich boy who is forced to choose between his beautiful , self-satisfied 22-year-old girlfriend and an equally beautiful ,",51,40
sst2,natural_language,stanfordnlp/sst2,train,26045,"like mike is n't going to make box office money that makes michael jordan jealous , but it has some cute moments , funny scenes , and hits the target audience ( young bow wow fans",47,40
sst2,natural_language,stanfordnlp/sst2,train,33411,"was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual",42,40
sst2,natural_language,stanfordnlp/sst2,train,52658,our culture is headed down the toilet with the ferocity of a frozen burrito after an all-night tequila bender -- and i know this because i 've seen ` jackass : the,42,40
sst2,natural_language,stanfordnlp/sst2,train,60615,"'s ... worth the extra effort to see an artist , still committed to growth in his ninth decade , change while remaining true to his principles with a film whose very subject is , quite pointedly , about",46,40
sst2,natural_language,stanfordnlp/sst2,train,58661,star/producer salma hayek and director julie taymor have infused frida with a visual style unique and inherent to the titular character 's paintings and in the process created,50,40
sst2,natural_language,stanfordnlp/sst2,train,29057,"if you are curious to see the darker side of what 's going on with young tv actors ( dawson leery did what ?!? ) , or see some interesting storytelling devices , you might",57,40
sst2,natural_language,stanfordnlp/sst2,train,18308,"zhuangzhuang creates delicate balance of style , text , and subtext that 's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does",40,40
sst2,natural_language,stanfordnlp/sst2,train,62266,"normally , rohmer 's talky films fascinate me , but when he moves his setting to the past , and relies on a historical text , he loses the richness of characterization that makes",44,40
sst2,natural_language,stanfordnlp/sst2,train,61654,"attal 's hang-ups surrounding infidelity are so old-fashioned and , dare i say , outdated , it 's a wonder that he could n't have brought something fresher to the",44,40
sst2,natural_language,stanfordnlp/sst2,train,51651,"frei assembles a fascinating profile of a deeply humanistic artist who , in spite of all that he 's witnessed , remains surprisingly idealistic , and retains an extraordinary faith in the ability of images",50,40
sst2,natural_language,stanfordnlp/sst2,train,32550,"`` real women have curves '' is a sweet , honest , and enjoyable comedy-drama about a young woman who wants many things in life , but fears she 'll become her mother before she gets",45,40
sst2,natural_language,stanfordnlp/sst2,train,4587,"in a summer overrun with movies dominated by cgi aliens and super heroes , it revigorates the mind to see a feature that concentrates on people , a project in which the script and characters hold",42,40
sst2,natural_language,stanfordnlp/sst2,train,10811,"the movie does its best to work us over , with second helpings of love , romance , tragedy , false dawns , real dawns , comic relief , two separate crises during marriage ceremonies , and",50,40
sst2,natural_language,stanfordnlp/sst2,train,51246,"terry is a sort of geriatric dirty harry , which will please eastwood 's loyal fans -- and suits the story , wherein our hero must ride roughshod over incompetent cops to get",43,40
sst2,natural_language,stanfordnlp/sst2,train,30591,"the wonderfully lush morvern callar is pure punk existentialism , and ms. ramsay and her co-writer , liana dognini , have dramatized the alan warner",59,40
sst2,natural_language,stanfordnlp/sst2,train,44260,"it 's a bad sign when you 're rooting for the film to hurry up and get to its subjects ' deaths just so the documentary will be over , but it 's indicative of how uncom",54,40
sst2,natural_language,stanfordnlp/sst2,train,53742,"each of these stories has the potential for touched by an angel simplicity and sappiness , but thirteen conversations about one thing , for all its generosity and optimism , never resorts to easy feel-good sentiments",41,40
sst2,natural_language,stanfordnlp/sst2,train,62926,"when twentysomething hotsies make movies about their lives , hard-driving narcissism is a given , but what a world we 'd live in if argento 's hollywood counterparts ... had",46,40
sst2,natural_language,stanfordnlp/sst2,train,33419,"it 's provocative stuff , but the speculative effort is hampered by taylor 's cartoonish performance and the film 's ill-considered notion that hitler 's destiny was shaped by the",44,40
sst2,natural_language,stanfordnlp/sst2,train,41481,"it would be churlish to begrudge anyone for receiving whatever consolation that can be found in dragonfly , yet it is impossible to find the film anything but appalling , shamelessly manipulative and cont",47,40
sst2,natural_language,stanfordnlp/sst2,train,24626,"poignancy jostling against farce , thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except , maybe , that it",42,40
sst2,natural_language,stanfordnlp/sst2,train,45074,"barney 's ideas about creation and identity do n't really seem all that profound , at least by way of what can be gleaned from this three-hour endurance test built around an hour '",46,40
sst2,natural_language,stanfordnlp/sst2,train,2236,'s mired in a shabby script that piles layer upon layer of action man cliché atop wooden dialogue and a shifting tone that falls far short of the peculiarly moral amorality of ( woo ',44,40
sst2,natural_language,stanfordnlp/sst2,train,16569,"is more interesting than the screenplay , which lags badly in the middle and lurches between not-very-funny comedy , unconvincing dramatics and some last-minute action strongly reminiscent",46,40
sst2,natural_language,stanfordnlp/sst2,train,59622,"never having seen the first two films in the series , i ca n't compare friday after next to them , but nothing would change the fact that what we have here is a load of clams",51,40
sst2,natural_language,stanfordnlp/sst2,train,10556,"before it takes a sudden turn and devolves into a bizarre sort of romantic comedy , steven shainberg 's adaptation of mary gaitskill 's harrowing short story ... is a brilliantly",46,40
sst2,natural_language,stanfordnlp/sst2,train,48186,"one of the better video-game-based flicks , is that the film acknowledges upfront that the plot makes no sense , such that the lack of linearity is the point of emotional and moral departure",45,40
sst2,natural_language,stanfordnlp/sst2,train,27367,"is a really cool bit -- the movie 's conception of a future-world holographic librarian ( orlando jones ) who knows everything and answers all questions , is visually smart , cleverly",46,40
sst2,natural_language,stanfordnlp/sst2,train,67128,"brings a beguiling freshness to a coming-of-age story with such a buoyant , expressive flow of images that it emerges as another key contribution to the flowering of the south k",43,40
sst2,natural_language,stanfordnlp/sst2,train,66768,"equally spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it points out how inseparable the two are .",40,40
sst2,natural_language,stanfordnlp/sst2,train,32954,"the woodman seems to have directly influenced this girl-meets-girl love story , but even more reassuring is how its makers actually seem to understand what made allen 's romantic comedies so",44,40
sst2,natural_language,stanfordnlp/sst2,train,36601,is so meditative and lyrical about babak payami 's boldly quirky iranian drama secret ballot ... a charming and evoking little ditty that manages to show the gentle and humane side of,44,40
sst2,natural_language,stanfordnlp/sst2,train,11270,"chaplin and kidman , who are capable of anteing up some movie star charisma when they need it to sell us on this twisted love story , but who can also negotiate the movie 's darker",41,40
sst2,natural_language,stanfordnlp/sst2,train,32574,"the real triumphs in igby come from philippe , who makes oliver far more interesting than the character 's lines would suggest , and sarandon , who could n't be better as",52,40
sst2,natural_language,stanfordnlp/sst2,train,24214,"functions as both a revealing look at the collaborative process and a timely , tongue-in-cheek profile of the corporate circus that is the recording industry in the current climate of mergers and downs",42,40
sst2,natural_language,stanfordnlp/sst2,train,49438,"placed in the pantheon of the best of the swashbucklers but it is a whole lot of fun and you get to see the one of the world 's best actors , daniel a",44,40
sst2,natural_language,stanfordnlp/sst2,train,16012,", swimming gets the details right , from its promenade of barely clad bodies in myrtle beach , s.c. , to the adrenaline jolt of a sudden lunch rush at the diner",41,40
sst2,natural_language,stanfordnlp/sst2,train,26547,i am highly amused by the idea that we have come to a point in society where it has been deemed important enough to make a film in which someone has to be hired to portray richard daw,42,40
sst2,natural_language,stanfordnlp/sst2,train,21236,"there is no substitute for on-screen chemistry , and when friel pulls the strings that make williams sink into melancholia , the reaction in williams is as visceral as a gut punch",41,40
sst2,natural_language,stanfordnlp/sst2,train,2852,"to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaph",50,40
sst2,natural_language,stanfordnlp/sst2,train,41993,"served by the movie 's sophomoric blend of shenanigans and slapstick , although the more lascivious-minded might be disappointed in the relative modesty of a movie that sports a ` to",43,40
sst2,natural_language,stanfordnlp/sst2,train,44653,here is nothing but a convenient conveyor belt of brooding personalities that parade about as if they were coming back from stock character camp -- a drowsy drama infatuated by its own pretentious,44,40
sst2,natural_language,stanfordnlp/sst2,train,67118,"transcends its agenda to deliver awe-inspiring , at times sublime , visuals and offer a fascinating glimpse into the subculture of extreme athletes whose derring-do puts the x into the games",41,40
sst2,natural_language,stanfordnlp/sst2,train,50761,"it 's a film that 's destined to win a wide summer audience through word-of-mouth reviews and , not far down the line , to find a place among the studio 's animated",42,40
sst2,natural_language,stanfordnlp/sst2,train,46653,"we 've seen it all before in one form or another , but director hoffman , with great help from kevin kline , makes us care about this latest reincarnation of the world '",43,40
sst2,natural_language,stanfordnlp/sst2,train,13991,"if s&m seems like a strange route to true love , maybe it is , but it 's to this film 's ( and its makers ' ) credit that we believe that that 's",54,40
sst2,natural_language,stanfordnlp/sst2,train,13621,"in addition to scoring high for originality of plot -- putting together familiar themes of family , forgiveness and love in a new way -- lilo & stitch has a number of other assets to commend it to",48,40
